eski_url,yeni_url,durum,grup,not
/,/,BIREBIR,ana,
/3d-animasyon,/me-collection,KURAL,ana,kategori sayfası → M&E Collection
/3ds-max,/3dsmax,KURAL,ana,slug farkı
/abc-pro,/urunler,KURAL,ana,"eski ürün tanımlanamadı, genel ürünler sayfası (onaylandı)"
/acrobat-sign,/adobe,KURAL,ana,Acrobat Sign ayrı sayfa yok → Adobe hub
/adobe,/adobe,BIREBIR,ana,
/adobe-acrobat,/adobe,KURAL,ana,Acrobat karta indirgendi → Adobe hub
/adobe-creative-cloud,/adobe,KURAL,ana,
/adobe-yaraticilik,/yaratici-icerik,KURAL,ana,kategori → Yaratıcı İçerik çözümü
/adobe-yaraticilik/acrobat-pro,/adobe,KURAL,koleksiyon:adobe-yaraticilik,model eşleşmesi: acrobat
/adobe-yaraticilik/adobe-fonts,/adobe,KURAL,koleksiyon:adobe-yaraticilik,"ayrı satılan ürün değil, ana marka sayfasına yönlendirildi (onaylandı)"
/adobe-yaraticilik/adobe-fresco,/adobe,KURAL,koleksiyon:adobe-yaraticilik,"ayrı satılan ürün değil, ana marka sayfasına yönlendirildi (onaylandı)"
/adobe-yaraticilik/adobe-stock,/adobe-stock,KURAL,koleksiyon:adobe-yaraticilik,model eşleşmesi: stock
/adobe-yaraticilik/aero,/adobe,KURAL,koleksiyon:adobe-yaraticilik,"ayrı satılan ürün değil, ana marka sayfasına yönlendirildi (onaylandı)"
/adobe-yaraticilik/after-effects,/after-effects,KURAL,koleksiyon:adobe-yaraticilik,model eşleşmesi: after-effects
/adobe-yaraticilik/animate,/adobe,KURAL,koleksiyon:adobe-yaraticilik,"ayrı satılan ürün değil, ana marka sayfasına yönlendirildi (onaylandı)"
/adobe-yaraticilik/audition,/adobe,KURAL,koleksiyon:adobe-yaraticilik,"ayrı satılan ürün değil, ana marka sayfasına yönlendirildi (onaylandı)"
/adobe-yaraticilik/behance,/adobe,KURAL,koleksiyon:adobe-yaraticilik,"ayrı satılan ürün değil, ana marka sayfasına yönlendirildi (onaylandı)"
/adobe-yaraticilik/bridge,/adobe,KURAL,koleksiyon:adobe-yaraticilik,"ayrı satılan ürün değil, ana marka sayfasına yönlendirildi (onaylandı)"
/adobe-yaraticilik/capture,/adobe,KURAL,koleksiyon:adobe-yaraticilik,"ayrı satılan ürün değil, ana marka sayfasına yönlendirildi (onaylandı)"
/adobe-yaraticilik/charachter-animator,/adobe,KURAL,koleksiyon:adobe-yaraticilik,"ayrı satılan ürün değil, ana marka sayfasına yönlendirildi (onaylandı)"
/adobe-yaraticilik/dreamweaver,/adobe,KURAL,koleksiyon:adobe-yaraticilik,"ayrı satılan ürün değil, ana marka sayfasına yönlendirildi (onaylandı)"
/adobe-yaraticilik/illustrator,/illustrator,KURAL,koleksiyon:adobe-yaraticilik,model eşleşmesi: illustrator
